Date,1-Year Real Interest Rate,1-Year Expected Inflation,Personal Saving Rate,Sticky Price Consumer Price Index,Unemployment Rate,5-Year Forward Inflation Expectation Rate
2023-04-20,,,,,,2.24
2023-04-21,,,,,,2.26
2023-04-22,,,,,,2.26
2023-04-23,,,,,,2.26
2023-04-24,,,,,,2.23
2023-04-25,,,,,,2.24
2023-04-26,,,,,,2.24
2023-04-27,,,,,,2.25
2023-04-28,,,,,,2.16
2023-04-29,,,,,,2.16
2023-04-30,,,,,,2.16
2023-05-01,1.14790584,2.65363857,5.3,0.30279,3.7,2.22
2023-05-02,1.14790584,2.65363857,5.3,0.30279,3.7,2.22
2023-05-03,1.14790584,2.65363857,5.3,0.30279,3.7,2.21
2023-05-04,1.14790584,2.65363857,5.3,0.30279,3.7,2.25
2023-05-05,1.14790584,2.65363857,5.3,0.30279,3.7,2.23
2023-05-06,1.14790584,2.65363857,5.3,0.30279,3.7,2.23
2023-05-07,1.14790584,2.65363857,5.3,0.30279,3.7,2.23
2023-05-08,1.14790584,2.65363857,5.3,0.30279,3.7,2.24
2023-05-09,1.14790584,2.65363857,5.3,0.30279,3.7,2.24
2023-05-10,1.14790584,2.65363857,5.3,0.30279,3.7,2.21
2023-05-11,1.14790584,2.65363857,5.3,0.30279,3.7,2.22
2023-05-12,1.14790584,2.65363857,5.3,0.30279,3.7,2.25
2023-05-13,1.14790584,2.65363857,5.3,0.30279,3.7,2.25
2023-05-14,1.14790584,2.65363857,5.3,0.30279,3.7,2.25
2023-05-15,1.14790584,2.65363857,5.3,0.30279,3.7,2.26
2023-05-16,1.14790584,2.65363857,5.3,0.30279,3.7,2.27
2023-05-17,1.14790584,2.65363857,5.3,0.30279,3.7,2.28
2023-05-18,1.14790584,2.65363857,5.3,0.30279,3.7,2.3
2023-05-19,1.14790584,2.65363857,5.3,0.30279,3.7,2.29
2023-05-20,1.14790584,2.65363857,5.3,0.30279,3.7,2.29
2023-05-21,1.14790584,2.65363857,5.3,0.30279,3.7,2.29
2023-05-22,1.14790584,2.65363857,5.3,0.30279,3.7,2.3
2023-05-23,1.14790584,2.65363857,5.3,0.30279,3.7,2.31
2023-05-24,1.14790584,2.65363857,5.3,0.30279,3.7,2.36
2023-05-25,1.14790584,2.65363857,5.3,0.30279,3.7,2.38
2023-05-26,1.14790584,2.65363857,5.3,0.30279,3.7,2.33
2023-05-27,1.14790584,2.65363857,5.3,0.30279,3.7,2.33
2023-05-28,1.14790584,2.65363857,5.3,0.30279,3.7,2.33
2023-05-29,1.14790584,2.65363857,5.3,0.30279,3.7,2.33
2023-05-30,1.14790584,2.65363857,5.3,0.30279,3.7,2.32
2023-05-31,1.14790584,2.65363857,5.3,0.30279,3.7,2.29
2023-06-01,8.00560278,1.36626254,4.8,0.27447,3.6,2.25
2023-06-02,8.00560278,1.36626254,4.8,0.27447,3.6,2.23
2023-06-03,8.00560278,1.36626254,4.8,0.27447,3.6,2.23
2023-06-04,8.00560278,1.36626254,4.8,0.27447,3.6,2.23
2023-06-05,8.00560278,1.36626254,4.8,0.27447,3.6,2.23
2023-06-06,8.00560278,1.36626254,4.8,0.27447,3.6,2.26
2023-06-07,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-08,8.00560278,1.36626254,4.8,0.27447,3.6,2.26
2023-06-09,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-10,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-11,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-12,8.00560278,1.36626254,4.8,0.27447,3.6,2.25
2023-06-13,8.00560278,1.36626254,4.8,0.27447,3.6,2.28
2023-06-14,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-15,8.00560278,1.36626254,4.8,0.27447,3.6,2.26
2023-06-16,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-17,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-18,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-19,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-20,8.00560278,1.36626254,4.8,0.27447,3.6,2.3
2023-06-21,8.00560278,1.36626254,4.8,0.27447,3.6,2.27
2023-06-22,8.00560278,1.36626254,4.8,0.27447,3.6,2.3
